1,"Abacavir + Lamivudine
Mylan","Abacavirum +
Lamivudinum",tabletki powlekane,"600 mg +
300 mg","30 tabl. w blistrze
30 tabl. w butelce
90 tabl.
60 tabl.","Rpz
Rpz
Rpz
Rpz","5909991292911
5909991292928
5909991292942
5909991292935",Mylan Laboratoires SAS,23429,"Lupin (Europe) Ltd.
Mylan S.A.S.
Hormosan Pharma GmbH","GB
FR
DE"
2,"Abacavir + Lamivudine
Sandoz","Abacavirum +
Lamivudinum",tabletki powlekane,"600 mg +
300 mg","30 tabl. w blistrze
30 tabl. w butelce
60 tabl.
90 tabl.","Rpz
Rpz
Rpz
Rpz","5907626706420
5907626706451
5907626706437
5907626706444",Sandoz GmbH,23445,"Lupin (Europe) Ltd.
Hormosan Pharma GmbH","GB
DE"
3,Abacavir/Lamivudine Teva,"Abacavirum +
Lamivudinum",tabletki powlekane,"600 mg +
300 mg","10 tabl. w blistrze
10 tabl. w blistrze
perforowanym
30 tabl. w blistrze
30 tabl. w blistrze
perforowanym
90 tabl. w blistrze
90 tabl. w blistrze
perforowanym","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz","5909991291372
5909991291365
5909991291396
5909991291389
5909991291402
5909991291419","Teva Pharmaceuticals
Polska Sp. z o.o.",23389,"Merckle GmbH
Teva Pharma B.V.
Pliva Hravatska d.o.o.
(PLIVA Croatia Ltd.)","DE
NL
HR"
4,Abacavir Sandoz,Abacaviri sulfas,tabletki powlekane,300 mg,"60 tabl.
160 tabl.","Rpz
Rpz","5909991282752
5909991282769",Sandoz GmbH,23319,Salutas Pharma GmbH,DE
5,Abaktal,Pefloxacinum,roztwór do infuzji,80 mg/ml,10 amp. 5 ml,Lz,5909990061815,Sandoz GmbH,618,"LEK S.A.
Lek Pharmaceuticals d.d.","PL
SI"
6,Abaktal,Pefloxacinum,tabletki powlekane,400 mg,10 tabl.,Rp,5909990061716,Sandoz GmbH,617,"LEK S.A.
Lek Pharmaceuticals d.d.","PL
SI"
7,ABE,"Acidum lacticum +
Acidum salicylicum",płyn na skórę,"(89 mg + 89
mg)/g",1 op. 8 g,OTC,5909990040919,Grupa Inco S.A.,409,"Wydział Produkcji Leków
INCO-VERITAS S.A.
Oddział w Górze Kalwarii","PL
PL"
8,Abelcet,Amphotericinum B,"koncentrat do
sporządzania
zawiesiny do infuzji",5 mg/ml,"10 fiol. 20 ml
2 fiol. 20 ml + 2 igły z filtrem","Lz
Lz","5909990973927
5909991281502","Teva Pharmaceuticals
Polska Sp. z o.o.",9739,"Axellia Pharmaceuticals Aps
AndersonBrecon (UK)
Limited","DK
GB"
9,Abrotanum,"Homeopatyczny produkt
leczniczy","granulki; granulki w
pojemniku
jednodawkowym;
krople doustne,
roztwór",-,"1 op. 60 ml kropli 2CH
1 op. 60 ml kropli 4CH
1 op. 60 ml kropli 5CH
1 op. 60 ml kropli 7CH
1 op. 60 ml kropli 9CH
1 op. 60 ml kropli 12CH
1 op. 60 ml kropli 15CH
1 op. 60 ml kropli 30CH
1 op. 60 ml kropli 200CH
1 op. 60 ml kropli 6K
1 op. 60 ml kropli 12K
1 op. 60 ml kropli 30K
1 op. 60 ml kropli 200K
1 op. 60 ml kropli 1MK
1 op. 60 ml kropli 10MK
1 op. 60 ml kropli 100MK
1 poj. 1 g granulek 2CH
1 poj. 1 g granulek 4CH
1 poj. 1 g granulek 5CH
1 poj. 1 g granulek 7CH
1 poj. 1 g granulek 9CH
1 poj. 1 g granulek 12CH
1 poj. 1 g granulek 15CH
1 poj. 1 g granulek 30CH
1 poj. 1 g granulek 200CH
1 poj. 1 g granulek 6K
1 poj. 1 g granulek 12K
1 poj. 1 g granulek 30K
1 poj. 1 g granulek 200K
1 poj. 1 g granulek 1MK
1 poj. 1 g granulek 10MK
1 poj. 1 g granulek 100MK
1 poj. 4 g granulek 2CH
1 poj. 4 g granulek 4CH
1 poj. 4 g granulek 5CH
1 poj. 4 g granulek 7CH
1 poj. 4 g granulek 9CH","OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC","5909990665839
5909997083186
5909997083193
5909997083209
5909997083216
5909997083223
5909997083230
5909997083247
5909997083254
5909997083261
5909997083278
5909997083285
5909997083292
5909997083308
5909997083315
5909997083322
5909990665792
5909997083032
5909997083049
5909997083056
5909997083063
5909997083070
5909997083087
5909997083094
5909997083100
5909997083117
5909997083124
5909997083131
5909997083148
5909997083155
5909997083162
5909997083179
5909990665785
5909997082882
5909997082899
5909997082905
5909997082912",Boiron SA,IL-3398/LN-H,"Boiron SA
Boiron SA","FR
FR"
9,Abrotanum,"Homeopatyczny produkt
leczniczy","granulki; granulki w
pojemniku
jednodawkowym;
krople doustne,
roztwór",-,"1 poj. 4 g granulek 12CH
1 poj. 4 g granulek 15CH
1 poj. 4 g granulek 30CH
1 poj. 4 g granulek 200CH
1 poj. 4 g granulek 6K
1 poj. 4 g granulek 12K
1 poj. 4 g granulek 30K
1 poj. 4 g granulek 200K
1 poj. 4 g granulek 1MK
1 poj. 4 g granulek 10MK
1 poj. 4 g granulek 100MK","OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC
OTC","5909997082929
5909997082936
5909997082943
5909997082950
5909997082967
5909997082974
5909997082981
5909997082998
5909997083001
5909997083018
5909997083025",Boiron SA,IL-3398/LN-H,"Boiron SA
Boiron SA","FR
FR"
10,Absenor,Natrii valproas,"tabletka o
przedłużonym
uwalnianiu",300 mg,100 tabl.,Rp,5909990042371,Orion Corporation,12748,"Orion Corporation Orion
Pharma",FI
11,Absenor,Natrii valproas,"tabletka o
przedłużonym
uwalnianiu",500 mg,100 tabl.,Rp,5909990042364,Orion Corporation,12747,"Orion Corporation Orion
Pharma",FI
12,Acard,Acidum acetylsalicylicum,tabletki dojelitowe,75 mg,"30 tabl.
60 tabl.","OTC
OTC","5909990672516
5909990672523","Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.",6725,"Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.
Zakłady Farmaceutyczne
POLPHARMA S.A. Oddział
Produkcyjny w Nowej Dębie
Zakłady Farmaceutyczne
POLPHARMA S.A.","PL
PL
PL"
13,Acard 150 mg,Acidum acetylsalicylicum,tabletki dojelitowe,150 mg,"30 tabl.
60 tabl.","OTC
OTC","5909991290290
5909991290306","Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.",23375,"Zakłady Farmaceutyczne
POLPHARMA S.A.
Zakłady Farmaceutyczne
POLPHARMA S.A. Oddział
Produkcyjny w Nowej Dębie
Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.","PL
PL
PL"
14,Acard 300 mg,Acidum acetylsalicylicum,tabletki,300 mg,"1 tabl.
10 tabl.","OTC
OTC","5909991295295
5909991295301","Warszawskie Zakłady
Farmaceutyczne POLFA
S.A.",23458,"Zakłady Farmaceutyczne
POLPHARMA S.A.",PL
15,Acarizax,"Standaryzowany wyciąg
alergenowy roztoczy
kurzu domowego
(Dermatophagoides
pteronyssinus,
Dermatophagoides
farina)",liofilizat doustny,,"30 szt.
90 szt.","Rp
Rp","5909991257521
5909991257538",Alk-Abello A/S,22945,Alk-Abello A/S,DK
16,Acatar Acti Form,"Phenylephrini
hydrochloridum",kapsułki twarde,"12,2 mg",12 kaps.,OTC,5909991033460,US Pharmacia Sp. z o.o.,20812,"US Pharmacia Sp. z o.o.
Wrafton Laboratories Ltd.","PL
GB"
17,Acatar Acti-Tabs,"Pseudoephedrini
hydrochloridum +
Triprolidini
hydrochloridum",tabletki,"60 mg + 2,5
mg","2 tabl.
4 tabl.
6 tabl.
12 tabl.","OTC
OTC
OTC
OTC","5907377139010
5907377139027
5909991114916
5909990422005",US Pharmacia Sp. z o.o.,11149,US Pharmacia Sp. z o.o.,PL
18,Acatar Control,"Oxymetazolini
hydrochloridum","aerozol do nosa,
roztwór","0,5 mg/ml
(0,05%)",1 poj. 15 ml,OTC,5909990830312,US Pharmacia Sp. z o.o.,8303,Laleham Healthcare Limited,GB
19,Acatar Zatoki,"Ibuprofenum +
Pseudoephedrini
hydrochloridum",tabletki powlekane,"200 mg + 30
mg","6 tabl.
12 tabl.
24 tabl. w blistrach
24 tabl. w butelce","OTC
OTC
OTC
OTC","5909991133924
5909991133931
5909991133948
5909990994335",US Pharmacia Sp. z o.o.,11339,US Pharmacia Sp. z o.o.,PL
20,Acatar Zatoki Tabs,"Ibuprofenum +
Phenylephrini
hydrochloridum",tabletki drażowane,"200 mg +
6,1 mg","6 tabl.
12 tabl.
16 tabl.
24 tabl.","OTC
OTC
OTC
OTC","5909991094690
5909991094706
5909991094737
5909991094744",US Pharmacia Sp. z o.o.,21608,Galpharm International Ltd.,GB
21,Acatarick Allergy,"Cetirizini
dihydrochloridum",tabletki powlekane,10 mg,10 tabl.,OTC,5909990809943,US Pharmacia Sp. z o.o.,15770,Chanelle Medical,IE
22,ACC,Acetylcysteinum,"proszek do
sporządzania
roztworu",200 mg,20 sasz. 3 g,OTC,5909990331611,Sandoz GmbH,3316,Salutas Pharma GmbH,DE
23,ACC,Acetylcysteinum,tabletki,200 mg,20 tabl.,OTC,5909990922611,Sandoz GmbH,9226,Salutas Pharma GmbH,DE
24,ACC,Acetylcysteinum,tabletki musujące,200 mg,20 tabl.,OTC,5909990990610,Sandoz GmbH,9906,Salutas Pharma GmbH,DE
25,ACC classic,Acetylcysteinum,roztwór doustny,20 mg/ml,"1 butelka 100 ml
1 butelka 200 ml","OTC
OTC","5909991064952
5907626703580",Sandoz GmbH,21343,"Salutas Pharma GmbH
Pharma Wernigerode","DE
DE"
26,ACC Hot,Acetylcysteinum,"granulat do
sporządzania
roztworu doustnego",200 mg,20 sasz. 3 g,OTC,5909990892112,Sandoz GmbH,8921,Salutas Pharma GmbH,DE
27,ACC mini,Acetylcysteinum,"proszek do
sporządzania
roztworu","100
mg/sasz.",20 sasz. 3 g,OTC,5909990331512,Sandoz GmbH,3315,Salutas Pharma GmbH,DE
28,ACC mini,Acetylcysteinum,"proszek do
sporządzania
roztworu doustnego",20 mg/ml,"1 butelka - 30 g proszku
1 butelka - 60 g proszku","OTC
OTC","5909990824618
5909990824625",Sandoz GmbH,8246,Salutas Pharma GmbH,DE
29,ACC mini,Acetylcysteinum,tabletki musujące,100 mg,20 tabl.,OTC,5909990331215,Sandoz GmbH,3312,Salutas Pharma GmbH,DE
30,ACC optima,Acetylcysteinum,tabletki musujące,600 mg,10 tabl.,OTC,5909990691012,Sandoz GmbH,6910,Salutas Pharma GmbH,DE
31,ACC optima Hot,Acetylcysteinum,"proszek do
sporządzania
roztworu doustnego",600 mg/3 g,10 sasz. 3 g,OTC,5909990892211,Sandoz GmbH,8922,Salutas Pharma GmbH,DE
