1,Abasaglar,Insulinum glarginum,roztwór do wstrzykiwań,100 j.m./ml,"1 wkład 3 ml
1 wstrzykiwacz 3 ml
1 wstrzykiwacz 3 ml
2 wkłady 3 ml
2 wstrzykiwacze 3 ml
2 wstrzykiwacze 3 ml
5 wkładów 3 ml
5 wstrzykiwaczy 3 ml
5 wstrzykiwaczy 3 ml
10 wkładów 3 ml
10 wkładów 3 ml
10 wstrzykiwaczy 3 ml
10 wstrzykiwaczy 3 ml","5909991201906
5909991201944
5909991283209
5909991201913
5909991201951
5909991283216
5909991201920
5909991201968
5909991283223
5909991201982
5909991201937
5909991201975
5909991283230","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp","Eli Lilly Regional
Operations GmbH",Lilly France S.A.S.,FR
2,Abilify,Aripiprazolum,roztwór do wstrzykiwań,"7,5 mg/ml","1 fiol. 1,3 ml",5909990623525,Rp,"Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Elaiapharm
Zambon S.p.A.","IT
GB
FR
IT"
3,Abilify,Aripiprazolum,roztwór doustny,1 mg/ml,"1 butelka 50 ml
1 butelka 150 ml
1 butelka 480 ml","5909990931286
5909990931293
5909990931309","Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Elaiapharm
Zambon S.p.A.","IT
GB
FR
IT"
4,Abilify,Aripiprazolum,tabletki,5 mg,"14 tabl.
28 tabl.
49 tabl.
56 tabl.
98 tabl.","5909990002191
5909990002207
5909990002214
5909990002221
5909990002238","Rp
Rp
Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Elaiapharm
Zambon S.p.A.","IT
GB
FR
IT"
5,Abilify,Aripiprazolum,tabletki,10 mg,"14 tabl.
28 tabl.
49 tabl.
56 tabl.
98 tabl.","5909990002245
5909990002252
5909990002269
5909990002276
5909990002283","Rp
Rp
Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Elaiapharm
Zambon S.p.A.","IT
GB
FR
IT"
6,Abilify,Aripiprazolum,tabletki,15 mg,"14 tabl.
28 tabl.
49 tabl.
56 tabl.
98 tabl.","5909990002290
5909990002306
5909990002320
5909990002337
5909990002344","Rp
Rp
Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Zambon S.p.A.
Elaiapharm","IT
GB
IT
FR"
7,Abilify,Aripiprazolum,tabletki,30 mg,"14 tabl.
28 tabl.
49 tabl.
56 tabl.
98 tabl.","5909990002351
5909990002368
5909990002375
5909990002382
5909990002399","Rp
Rp
Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Elaiapharm
Zambon S.p.A.","IT
GB
FR
IT"
8,Abilify,Aripiprazolum,"tabletki ulegające
rozpadowi w jamie ustnej",10 mg,"14 tabl.
28 tabl.
49 tabl.","5909990419852
5909990419869
5909990419876","Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Elaiapharm
Zambon S.p.A.","IT
GB
FR
IT"
9,Abilify,Aripiprazolum,"tabletki ulegające
rozpadowi w jamie ustnej",15 mg,"14 tabl.
28 tabl.
49 tabl.","5909990419883
5909990419890
5909990419906","Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Elaiapharm
Zambon S.p.A.","IT
GB
FR
IT"
10,Abilify,Aripiprazolum,"tabletki ulegające
rozpadowi w jamie ustnej",30 mg,"14 tabl.
28 tabl.
49 tabl.","5909990219094
5909990219100
5909990419791","Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd.","Bristol-Myers Squibb
S.R.L.
AndersonBrecon (UK)
Limited
Elaiapharm
Zambon S.p.A.","IT
GB
FR
IT"
11,Abilify Maintena,Aripiprazolum,"proszek i rozpuszczalnik
do sporządzania
zawiesiny do wstrzykiwań
o przedłużonym
uwalnianiu",300 mg,"1 amp.-strzyk.
1 fiol. proszku + fiol. rozp.
3 amp.-strzyk.
3 fiol. proszku + 3 fiol. rozp.",,"Rp
Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd","H. Lundbeck A/S
Elaiapharm","DK
FR"
12,Abilify Maintena,Aripiprazolum,"proszek i rozpuszczalnik
do sporządzania
zawiesiny do wstrzykiwań
o przedłużonym
uwalnianiu",400 mg,"1 amp.-strzyk.
1 fiol. proszku + fiol. rozp.
3 amp.-strzyk.
3 fiol. proszku + 3 fiol. rozp.",5702157142200,"Rp
Rp
Rp
Rp","Otsuka Pharmaceutical
Europe Ltd","H. Lundbeck A/S
Elaiapharm","DK
FR"
13,Abraxane,Paclitaxelum,"proszek do sporządzania
zawiesiny do infuzji",5 mg/ml,"1 fiol. 100 mg
1 fiol. 250 mg","5909990930265
5909991088057","Rpz
Rpz",Celgene Europe Limited,Celgene Europe Limited,GB
14,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"1000 j.m./0,5
ml","1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.","5909990654055
5909990654062","Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
15,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"2000 j.m./0,5
ml","1 amp.-strzyk.
1 amp.-strzyk.
4 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.",,"Rpz
Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
16,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,2000 j.m./ml,"1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.","5909990654079
5909990654086","Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
17,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"3000 j.m./0,3
ml","1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.","5909990654093
5909990654109","Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
18,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"4000 j.m./0,4
ml","1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.","5909990654116
5909990654123","Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
19,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"5000 j.m./0,5
ml","1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.","5909990654130
5909990654147","Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
20,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"6000 j.m./0,6
ml","1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.","5909990654154
5909990654161","Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
21,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"7000 j.m./0,7
ml","1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.",,"Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
22,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"8000 j.m./0,8
ml","1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.","5909990654178
5909990654185","Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
23,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"9000 j.m./0,9
ml","1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.",,"Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
24,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,10 000 j.m./ml,"1 amp.-strzyk.
1 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.","5909990654192
5909990654208","Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
25,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,"30 000
j.m/0,75 ml","1 amp.-strzyk.
1 amp.-strzyk.
4 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.",,"Rpz
Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
26,Abseamed,Epoetinum alfa,roztwór do wstrzykiwań,40 000 j.m./ml,"1 amp.-strzyk.
1 amp.-strzyk.
4 amp.-strzyk.
6 amp.-strzyk.
6 amp.-strzyk.",,"Rpz
Rpz
Rpz
Rpz
Rpz","Medice Arzneimittel
Puetter GmbH & Co. KG",Sandoz GmbH,AT
27,Accofil,Filgrastimum,"roztwór do wstrzykiwań
lub infuzji","30 mln j./0,5
ml","1 amp.-strzyk.
5 amp.-strzyk. (w blistrze)
5 amp.-strzyk.
1 amp.-strzyk. (w blistrze)
3 amp.-strzyk.
3 amp.-strzyk. (w blistrze)
7 amp.-strzyk. (w blistrze)
10 amp.-strzyk.
10 amp.-strzyk. (w blistrze)",5055565713860,"Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Accord Healthcare Limited,"Accord Healthcare
Limited",GB
28,Accofil,Filgrastimum,"roztwór do wstrzykiwań
lub infuzji","48 mln j./0,5
ml","1 amp.-strzyk. (w blistrze)
1 amp.-strzyk.
3 amp.-strzyk.
5 amp.-strzyk.
3 amp.-strzyk. (w blistrze)
5 amp.-strzyk. (w blistrze)
7 amp.-strzyk. (w blistrze)
10 amp.-strzyk. (w blistrze)
10 amp.-strzyk.","5055565713853
5055565713877","Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz
Rpz",Accord Healthcare Limited,"Accord Healthcare
Limited",GB
29,Aclasta,Acidum zoledronicum,roztwór do infuzji,5 mg/100 ml,"1 butelka 100 ml
5 butelek 100 ml",5909990223091,"Rpz
Rpz",Novartis Europharm Ltd.,Novartis Pharma GmbH,DE
30,Actelsar HCT,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"40 mg + 12,5
mg","14 tabl.
28 tabl.
28 tabl.
56 tabl.
56 tabl.
84 tabl.
84 tabl.
90 tabl. w blistrze
90 tabl. w blistrze
90 tabl. w pojemniku
98 tabl.
98 tabl.
250 tabl.
30 tabl. w blistrze
30 tabl. w pojemniku",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Actavis Group PTC ehf.,"Actavis hf.
Actavis Ltd.","IS
MT"
31,Actelsar HCT,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"80 mg + 12,5
mg","14 tabl.
14 tabl.
28 tabl.
28 tabl.
30 tabl. w blistrze
30 tabl. w pojemniku
56 tabl.
56 tabl.
84 tabl.
84 tabl.
90 tabl. w blistrze
90 tabl. w blistrze
90 tabl. w pojemniku
98 tabl.
98 tabl.
250 tabl.","5909991308797
5909991308803
5909991056247
5909991056766
5909991308810
5909991308827
5909991308834
5909991308841","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Actavis Group PTC ehf.,"Actavis hf.
Actavis Ltd.","IS
MT"
32,Actelsar HCT,"Telmisartanum +
Hydrochlorothiazidum",tabletki,"80 mg + 25
mg","14 tabl.
28 tabl.
28 tabl.
30 tabl. w blistrze
30 tabl. w pojemniku
56 tabl.
56 tabl.
84 tabl.
84 tabl.
90 tabl. w blistrze
90 tabl. w blistrze
90 tabl. w pojemniku
98 tabl.
98 tabl.
250 tabl.","5909991056773
5909991056254
5909991308858
5909991308865
5909991308872
5909991308889","Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Actavis Group PTC ehf.,"Actavis ehf.
Actavis Ltd.","IS
MT"
33,Actos,Pioglitazonum,tabletki,15 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.
112 tabl.
196 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Takeda Pharma A/S,"Takeda Ireland Limited
Lilly S.A.","IE
ES"
34,Actos,Pioglitazonum,tabletki,30 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.
112 tabl.
196 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Takeda Pharma A/S,"Takeda Ireland Limited
Lilly S.A.","IE
ES"
35,Actos,Pioglitazonum,tabletki,45 mg,"14 tabl.
28 tabl.
30 tabl.
50 tabl.
56 tabl.
84 tabl.
90 tabl.
98 tabl.
112 tabl.
196 tabl.",,"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp",Takeda Pharma A/S,"Takeda Ireland Limited
Lilly S.A.","IE
ES"
36,Actraphane 30,Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 fiol. 10 ml
5 fiol. 10 ml
5 fiol. 10 ml (5x1)",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
37,Actraphane 30,Insulinum humanum,zawiesina do wstrzykiwań,"40 j.m./ml
(1,4 mg/ml)","1 fiol. 10 ml
5 fiol. 10 ml
5 fiol. 10 ml (5x1)",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
38,"Actraphane 30
FlexPen",Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wstrzykiwacz 3 ml
5 wstrzykiwaczy 3 ml
10 wstrzykiwaczy 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
39,"Actraphane 30
InnoLet",Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wstrzykiwacz 3 ml
5 wstrzykiwacz 3 ml
10 wstrzykiwacz 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,Novo Nordisk A/S,DK
40,Actraphane 30 Penfill,Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wkład 3 ml
5 wkładów 3 ml
10 wkładów 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
41,Actraphane 40 Penfill,Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wkład 3 ml
5 wkładów 3 ml
10 wkładów 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,Novo Nordisk A/S,DK
42,Actraphane 50 Penfill,Insulinum humanum,zawiesina do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 wkład 3 ml
5 wkładów 3 ml
10 wkładów 3 ml",,"Rp
Rp
Rp",Novo Nordisk A/S,Novo Nordisk A/S,DK
43,Actrapid,Insulinum humanum,roztwór do wstrzykiwań,"40 j.m./ml
(1,4 mg/ml)","1 fiol. 10 ml
5 fiol. 10 ml
5 fiol. 10 ml (5x1)",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
44,Actrapid,Insulinum humanum,roztwór do wstrzykiwań,"100 j.m./ml
(3,5 mg/ml)","1 fiol. 10 ml
5 fiol. 10 ml
5 fiol. 10 ml (5x1)",,"Rp
Rp
Rp",Novo Nordisk A/S,"Novo Nordisk A/S
Novo Nordisk Production
SAS","DK
FR"
