"1","A00","Cholera"
"2","A00.0","Cholera wywołana przecinkowcem klasycznym Vibrio cholerae 01, biotyp cholerae"
"3","A00.1","Cholera wywołana przecinkowcem Vibrio cholerae 01, biotyp El-Tor"
"4","A00.9","Cholera, nie określona"
"5","A01","Dur brzuszny i dury rzekome"
"6","A01.0","Dur brzuszny"
"7","A01.1","Dur rzekomy A"
"8","A01.2","Dur rzekomy B"
"9","A01.3","Dur rzekomy C"
"10","A01.4","Dur rzekomy, nie określony"
"11","A02","Inne zakażenia wywołane pałeczkami Salmonella"
"12","A02.0","Zatrucia pokarmowe wywołane przez pałeczki Salmonella"
"13","A02.1","Posocznica wywołana pałeczkami Salmonella"
"14","A02.2","Umiejscowione zakażenia pałeczkami Salmonella"
"15","A02.8","Inne określone zakażenia pałeczkami Salmonella"
"16","A02.9","Zakażenia pałeczkami Salmonella, nie określone"
"17","A03","Zakażenia wywołane pałeczkami Shigella (szigeloza)"
"18","A03.0","Szigeloza wywołana przez pałeczkę Shigella dysenteriae"
"19","A03.1","Szigeloza wywołana przez pałeczkę Shigella flexneri"
"20","A03.2","Szigeloza wywołana przez pałeczkę Shigella boydii"
"21","A03.3","Szigeloza wywołana przez pałeczkę Shigella sonnei"
"22","A03.8","Inne szigelozy"
"23","A03.9","Szigeloza, nie określona"
"24","A04","Inne bakteryjne zakażenia jelitowe"
"25","A04.0","Zakażenia Escherichia coli enteropatogenną"
"26","A04.1","Zakażenie Escherichia coli enterotoksyczną"
"27","A04.2","Zakażenie Escherichia coli enteroinwazyjną"
"28","A04.3","Zakażenie Escherichia coli enterokrwotoczną"
"29","A04.4","Inne jelitowe zakażenia Escherichia coli"
"33","A04.8","Inne określone zakażenia bakteryjne jelit"
"34","A04.9","Zakażenie bakteryjne jelit, nie określone"
"35","A05","Inne bakteryjne zatrucia pokarmowe"
"36","A05.0","Zatrucie pokarmowe gronkowcowe"
"37","A05.1","Zatrucie jadem kiełbasianym"
"38","A05.2","Zatrucie pokarmowe wywołane przez laseczkę Clostridium perfringens (Clostridium welchii)"
"39","A05.3","Zatrucie pokarmowe wywołane przez Vibrio parahemolyticus "
"40","A05.4","Zatrucie pokarmowe wywołane przez Bacillus cereus"
"41","A05.8","Inne określone bakteryjne zatrucie pokarmowe"
"42","A05.9","Bakteryjne zatrucie pokarmowe, nie określone"
"43","A06","Pełzakowica"
"44","A06.0","Pełzakowa czerwonka ostra"
"45","A06.1","Pełzakowica jelitowa przewlekła"
"46","A06.2","Pełzakowy nieżyt jelita grubego, nieczerwonkowy"
"47","A06.3","Guzowate nacieczenie ściany jelita"
"48","A06.4","Pełzakowy ropień wątroby"
"49","A06.5","Pełzakowy ropień płuc (J99.8*)"
"50","A06.6","Pełzakowy ropień mózgu (G07*)"
"51","A06.7","Pełzakowica skórna"
"52","A06.8","Pełzakowe zakażenie umiejscowione gdzie indziej"
"53","A06.9","Pełzakowica, nie określona"
"54","A07","Zakażenia jelitowe wywołane przez inne pierwotniaki"
"55","A07.0","Szparkoszyca [balantydioza]"
"56","A07.1","Giardiaza (lamblioza)"
"57","A07.2","Kryptosporydioza"
"58","A07.3","Izosporydoza"
"59","A07.8","Inne określone choroby jelit wywołane przez pierwotniaki "
"60","A07.9","Choroby jelit wywołane przez pierwotniaki, nie określone "
"61","A08","Wirusowe i inne określone zakażenia jelitowe"
"62","A08.0","Nieżyt jelitowy wywołany przez rotawirusy"
"63","A08.1","Ostra gastroenteropatia wywołana przez czynnik Norwalk"
"64","A08.2","Nieżyt jelitowy wywołany przez adenowirusy"
"65","A08.3","Nieżyt jelitowy wywołany przez inne wirusy"
"66","A08.4","Zakażenia wirusowe jelit, nie określone"
"67","A08.5","Inne określone zakażenia jelit"
"68","A09","Biegunka i zapalenie żołądkowo-jelitowe o prawdopodobnie zakaźnym pochodzeniu"
"69","A15","Gruźlica układu oddechowego, bakteriologicznie i histologicznie potwierdzona"
"70","A15.0","Gruźlica płuc, potwierdzona mikroskopowym badaniem plwociny, z posiewem lub bez posiewu"
"71","A15.1","Gruźlica płuc potwierdzona wyłącznie posiewem"
"72","A15.2","Gruźlica płuc potwierdzona histologicznie"
"73","A15.3","Gruźlica płuc potwierdzona nieokreślonymi sposobami"
"74","A15.4","Gruźlica wewnątrzpiersiowych węzłów chłonnych, potwierdzona bakteriologicznie i histologicznie"
"75","A15.5","Gruźlica krtani, tchawicy i oskrzela, potwierdzona bakteriologicznie i histologicznie"
"76","A15.6","Gruźlicze zapalenie opłucnej, potwierdzone bakteriologicznie i histologicznie"
"77","A15.7","Pierwotna gruźlica układu oddechowego, potwierdzona bakteriologicznie i histologicznie"
"78","A15.8","Inne postacie gruźlicy układu oddechowego, potwierdzone bakteriologicznie i histologicznie"
"79","A15.9","Gruźlica układu oddechowego nie określona, potwierdzona bakteriologicznie i histologicznie"
"80","A16","Gruźlica układu oddechowego, nie potwierdzona bakteriologicznie i histologicznie"
"81","A16.0","Gruźlica płuc, bakteriologicznie i histologicznie ujemna"
"82","A16.1","Gruźlica płuc, badań bakteriologicznych i histologicznych nie przeprowadzono"
"83","A16.2","Gruźlica płuc, bez wzmiankowania o potwierdzeniu bakteriologicznym lub histologicznym"
"84","A16.3","Gruźlica wewnątrzpiersiowych węzłów chłonnych, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym"
"85","A16.4","Gruźlica krtani, tchawicy i oskrzela, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym"
"86","A16.5","Gruźlicze zapalenie opłucnej, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym"
"87","A16.7","Pierwotna gruźlica układu oddechowego, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym"
"88","A16.8","Inne postacie gruźlicy układu oddechowego, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym"
"89","A16.9","Gruźlica układu oddechowego, nie określona, bez wzmianki o potwierdzeniu bakteriologicznym lub histologicznym"
"90","A17","Gruźlica układu nerwowego"
"91","A17.0","Gruźlicze zapalenie opon mózgowych (G01*)"
"92","A17.1","Gruźliczak oponowy (G07*)"
"93","A17.8","Inne postacie gruźlicy układu nerwowego"
"94","A17.9","Gruźlica układu nerwowego, nie określona (G99.8*)"
"95","A18","Gruźlica innych narządów"
